fighter,salary,year,Unnamed: 0,first_name,last_name,height,weight,stance,wins,losses,draws,number_of_fights,full_name,gender,current_or_former_champ
Junior dos Santos,"$260,000 ",2010,,,,,,,,,,,,,
Junior dos Santos,"$485,000 ",2011,,,,,,,,,,,,,
Junior dos Santos,"$600,000 ",2012,,,,,,,,,,,,,
Junior dos Santos,"$600,000 ",2013,,,,,,,,,,,,,
Junior dos Santos,"$310,000 ",2014,,,,,,,,,,,,,
Junior dos Santos,"$410,000 ",2015,,,,,,,,,,,,,
Junior dos Santos,"$410,000 ",2016,,,,,,,,,,,,,
Junior dos Santos,"$430,000 ",2017,,,,,,,,,,,,,
Junior dos Santos,"$830,000 ",2018,,,,,,,,,,,,,
Junior dos Santos,"$880,000 ",2019,,,,,,,,,,,,,
Junior dos Santos,"$1,560,000 ",2020,,,,,,,,,,,,,
Junior Hernandez,"$8,000 ",2014,,,,,,,,,,,,,
Jussier ‘Formiga’ da Silva,"$48,000 ",2014,,,,,,,,,,,,,
Jussier da Silva,"$9,000 ",2012,,,,,,,,,,,,,
Jussier da Silva,"$9,000 ",2013,,,,,,,,,,,,,
Justin Buchholz,"$8,000 ",2010,,,,,,,,,,,,,
Justin Frazer,"$18,500 ",2018,,,,,,,,,,,,,
K.J. Noons,"$163,000 ",2014,,,,,,,,,,,,,
K.J. Noons,"$34,000 ",2015,,,,,,,,,,,,,
K.J. Noons,"$44,000 ",2016,,,,,,,,,,,,,
Kai Kamaka III,"$89,000 ",2020,,,,,,,,,,,,,
Kelvin Gasetlum,"$394,000 ",2019,,,,,,,,,,,,,
Kenan Song,"$95,000 ",2018,,,,,,,,,,,,,
Kevin Souza,"$14,500 ",2015,,,,,,,,,,,,,
Khalil Rountree,"$35,000 ",2016,,,,,,,,,,,,,
Khalil Rountree,"$86,500 ",2017,,,,,,,,,,,,,
Khalil Rountree Jr,"$119,000 ",2018,,,,,,,,,,,,,
Khalil Rountree Jr,"$117,000 ",2019,,,,,,,,,,,,,
Kimbo Slice,"$25,000 ",2010,,,,,,,,,,,,,
Klibson Abreu,"$22,000 ",2020,,,,,,,,,,,,,
Kryzsztof Jotko,"$153,500 ",2016,,,,,,,,,,,,,
Leonardo Augusto Guimaraes,"$27,500 ",2016,,,,,,,,,,,,,
Liu Pingyuan,"$35,500 ",2019,,,,,,,,,,,,,
Livia Renata Souza,"$23,500 ",2018,,,,,,,,,,,,,
Livia Renata Souza,"$47,000 ",2019,,,,,,,,,,,,,
Livia Renata Souza,"$28,000 ",2020,,,,,,,,,,,,,
Loma Lookboonme,"$23,500 ",2019,,,,,,,,,,,,,
Loma Lookboonme,"$43,000 ",2020,,,,,,,,,,,,,
Louis Gaudenot,"$82,200 ",2012,,,,,,,,,,,,,
Louis Gaudenot,"$82,200 ",2013,,,,,,,,,,,,,
Luis Henrique da Silva,"$19,000 ",2017,,,,,,,,,,,,,
Luiz Eduardo Garagorri,"$15,500 ",2020,,,,,,,,,,,,,
Luiz Garagorri,"$39,000 ",2019,,,,,,,,,,,,,
Magomed Bibulatov,"$52,000 ",2017,,,,,,,,,,,,,
Magomed Bibulatov,"$17,100 ",2019,,,,,,,,,,,,,
Manny Bermundez,"$72,700 ",2019,,,,,,,,,,,,,
Manny Gamburyan,"$36,000 ",2011,,,,,,,,,,,,,
Manny Gamburyan,"$36,000 ",2012,,,,,,,,,,,,,
Manny Gamburyan,"$36,000 ",2013,,,,,,,,,,,,,
Manny Gamburyan,"$75,000 ",2014,,,,,,,,,,,,,
Manny Gamburyan,"$96,000 ",2016,,,,,,,,,,,,,
Manny Gamburyen,"$75,000 ",2015,,,,,,,,,,,,,
Marcelo Guimarães,"$16,000 ",2014,,,,,,,,,,,,,
Marcin Vettori,"$45,000 ",2019,,,,,,,,,,,,,
Marcio Alexandre Jr,"$16,000 ",2014,,,,,,,,,,,,,
Marcio Alexandre Jr.,"$14,500 ",2015,,,,,,,,,,,,,
Mary Chiasson,"$33,500 ",2018,,,,,,,,,,,,,
Matt Riddle,"$67,000 ",2011,,,,,,,,,,,,,
Matt Riddle,"$155,000 ",2012,,,,,,,,,,,,,
Matt Riddle,"$155,000 ",2013,,,,,,,,,,,,,
Matthew Semeslberger,"$23,500 ",2020,,,,,,,,,,,,,
Mauricio ‘ Shogun’ Rua,"$270,000 ",2016,,,,,,,,,,,,,
Mauricio ‘Shogun’ Rua,"$410,000 ",2014,,,,,,,,,,,,,
Mauricio ‘Shogun’ Rua,"$310,000 ",2015,,,,,,,,,,,,,
Mauricio ‘Shogun’ Rua,"$275,000 ",2017,,,,,,,,,,,,,
Mauricio ‘Shogun’ Rua,"$540,000 ",2018,,,,,,,,,,,,,
Mauricio ‘Shogun’ Rua,"$215,000 ",2019,,,,,,,,,,,,,
Maurico ‘Shogun’ Rua,"$515,000 ",2020,,,,,,,,,,,,,
Michał Oleksiejczuk,"$38,500 ",2017,,,,,,,,,,,,,
Mike De La Torre,"$54,600 ",2015,,,,,,,,,,,,,
Mike De La Torre,"$19,000 ",2016,,,,,,,,,,,,,
Mike De La Torre,"$19,000 ",2017,,,,,,,,,,,,,
Mike Trizano,"$87,000 ",2018,,,,,,,,,,,,,
Mirko ‘Cro Cop’ Filipovic,"$200,000 ",2015,,,,,,,,,,,,,
Mirko Cro Cop,"$460,000 ",2010,,,,,,,,,,,,,
Mirko Cro Cop,"$150,000 ",2011,,,,,,,,,,,,,
Mirsad Betktic,"$16,000 ",2014,,,,,,,,,,,,,
Mizuki Inoue,"$27,100 ",2019,,,,,,,,,,,,,
Mizuki Inoue,"$15,500 ",2020,,,,,,,,,,,,,
Mostapha Al-Turk,"$7,000 ",2010,,,,,,,,,,,,,
Mounir Lazeez,"$78,300 ",2020,,,,,,,,,,,,,
Nathan Maness,"$101,000 ",2020,,,,,,,,,,,,,
Nick Pace,"$5,400 ",2010,,,,,,,,,,,,,
Nico Musoke,"$49,000 ",2014,,,,,,,,,,,,,
Nico Musoke,"$12,000 ",2015,,,,,,,,,,,,,
Nico Musoke,"$14,500 ",2017,,,,,,,,,,,,,
Nina Ansaroff,"$8,000 ",2014,,,,,,,,,,,,,
Nina Ansaroff,"$8,000 ",2015,,,,,,,,,,,,,
Nina Ansaroff,"$12,500 ",2016,,,,,,,,,,,,,
Nina Ansaroff,"$61,000 ",2017,,,,,,,,,,,,,
Nina Ansaroff,"$92,000 ",2018,,,,,,,,,,,,,
Nina Ansaroff,"$29,000 ",2019,,,,,,,,,,,,,
Ning Guangyou,"$16,000 ",2014,,,,,,,,,,,,,
Ning Guangyou,"$36,900 ",2015,,,,,,,,,,,,,
Ning Guangyou,"$14,500 ",2016,,,,,,,,,,,,,
Norifumi ‘Kid’ Yamamoto,"$15,000 ",2015,,,,,,,,,,,,,
Oleksiy Oliynyk,"$86,000 ",2014,,,,,,,,,,,,,
Oleksiy Oliynyk,"$14,500 ",2016,,,,,,,,,,,,,
Ottman Azatair,"$77,500 ",2020,,,,,,,,,,,,,
Patrick Holohan,"$76,000 ",2014,,,,,,,,,,,,,
Polo Reyes,"$72,500 ",2015,,,,,,,,,,,,,
Polo Reyes,"$86,000 ",2018,,,,,,,,,,,,,
Polo Reyes,"$69,000 ",2019,,,,,,,,,,,,,
Quinton ‘Rampage’ Jackson,"$250,000 ",2015,,,,,,,,,,,,,
Rafael ‘Feijao’ Cavalcante,"$35,000 ",2014,,,,,,,,,,,,,
Rafael ‘Feijao’ Cavalcante,"$47,000 ",2015,,,,,,,,,,,,,
Rafael ‘Feijao’ Cavalcante,"$47,000 ",2016,,,,,,,,,,,,,
Rafael dos Anjos,"$123,000 ",2010,,,,,,,,,,,,,
Rafael dos Anjos,"$44,000 ",2011,,,,,,,,,,,,,
Rafael dos Anjos,"$112,000 ",2012,,,,,,,,,,,,,
Rafael dos Anjos,"$112,000 ",2013,,,,,,,,,,,,,
Rafael dos Anjos,"$297,000 ",2014,,,,,,,,,,,,,
Rafael dos Anjos,"$536,000 ",2015,,,,,,,,,,,,,
Rafael dos Anjos,"$470,000 ",2016,,,,,,,,,,,,,
Rafael dos Anjos,"$422,000 ",2017,,,,,,,,,,,,,
Rafael dos Anjos,"$510,000 ",2018,,,,,,,,,,,,,
Rafael dos Anjos,"$380,000 ",2019,,,,,,,,,,,,,
Rafael dos Anjos,"$435,000 ",2020,,,,,,,,,,,,,
Rafaelo Oliveira,"$20,000 ",2012,,,,,,,,,,,,,
Rafaelo Oliveira,"$20,000 ",2013,,,,,,,,,,,,,
Ramazen Emeev,"$44,000 ",2020,,,,,,,,,,,,,
Rampage Jackson,"$500,000 ",2010,,,,,,,,,,,,,
Rampage Jackson,"$575,000 ",2011,,,,,,,,,,,,,
Renato Carneiro,"$16,000 ",2014,,,,,,,,,,,,,
Rich Attonito,"$40,000 ",2010,,,,,,,,,,,,,
Rick Glenn,"$62,500 ",2016,,,,,,,,,,,,,
Rick Glenn,"$105,500 ",2017,,,,,,,,,,,,,
Rick Glenn,"$73,000 ",2018,,,,,,,,,,,,,
Rob Whiteford,"$43,000 ",2015,,,,,,,,,,,,,
Robbie Peralta,"$46,000 ",2014,,,,,,,,,,,,,
Robbie Peralta,"$18,000 ",2015,,,,,,,,,,,,,
Roberto Sanchez,"$12,500 ",2017,,,,,,,,,,,,,
Roberto Sanchez,"$39,000 ",2018,,,,,,,,,,,,,
Rodolfo Rubio,"$8,000 ",2014,,,,,,,,,,,,,
Rodrigo Goiana de Lima,"$8,000 ",2014,,,,,,,,,,,,,
Rodrigo Vargas,"$13,500 ",2019,,,,,,,,,,,,,
Roldan Sangcha-an,"$8,000 ",2014,,,,,,,,,,,,,
Roldan Sangcha-An,"$58,000 ",2015,,,,,,,,,,,,,
Ronaldo ‘Jacare’ Souza,"$315,000 ",2015,,,,,,,,,,,,,
Ronaldo ‘Jacare’ Souza,"$255,000 ",2016,,,,,,,,,,,,,
Ronaldo ‘Jacare’ Souza,"$400,000 ",2017,,,,,,,,,,,,,
Ronaldo ‘Jacare’ Souza,"$840,000 ",2018,,,,,,,,,,,,,
Ronaldo ‘Jacare’ Souza,"$450,000 ",2019,,,,,,,,,,,,,
Ronaldo ‘Jacare’ Souza,"$225,000 ",2020,,,,,,,,,,,,,
Ronaldo “Jacare’ Souza,"$340,000 ",2014,,,,,,,,,,,,,
Rony Mariano Bezerra,"$116,000 ",2012,,,,,,,,,,,,,
Rony Mariano Bezerra,"$116,000 ",2013,,,,,,,,,,,,,
Sako Chivitchian,"$8,000 ",2010,,,,,,,,,,,,,
Salem Touahri,"$12,500 ",2017,,,,,,,,,,,,,
Saparbek Safarov,"$62,500 ",2016,,,,,,,,,,,,,
Saparbek Safarov,"$13,500 ",2018,,,,,,,,,,,,,
Saparbek Safarov,"$23,500 ",2019,,,,,,,,,,,,,
Saparbek Safarov,"$26,000 ",2020,,,,,,,,,,,,,
Sean O’Connell,"$66,000 ",2014,,,,,,,,,,,,,
Sean O’Connell,"$98,000 ",2015,,,,,,,,,,,,,
Sean O’Connell,"$116,500 ",2016,,,,,,,,,,,,,
Sean O’Malley,"$22,500 ",2017,,,,,,,,,,,,,
Sean O’Malley,"$97,500 ",2018,,,,,,,,,,,,,
Sean O’Malley,"$306,500 ",2020,,,,,,,,,,,,,
Sergey Pavlovich,"$13,500 ",2018,,,,,,,,,,,,,
Sergey Pavlovich,"$101,000 ",2019,,,,,,,,,,,,,
Sergey Spivak,"$37,000 ",2019,,,,,,,,,,,,,
Sergey Spivak,"$49,500 ",2020,,,,,,,,,,,,,
Seung Woo Choi,"$50,500 ",2019,,,,,,,,,,,,,
Stanislav Nedkov,"$12,000 ",2011,,,,,,,,,,,,,
Steven Siler,"$16,000 ",2011,,,,,,,,,,,,,
Su Mudaerji,"$13,500 ",2018,,,,,,,,,,,,,
Su Mudaerji,"$23,500 ",2019,,,,,,,,,,,,,
Su Mudaerji,"$77,500 ",2020,,,,,,,,,,,,,
T.J. Brown,"$25,000 ",2020,,,,,,,,,,,,,
T.J. Dillashaw,"$8,000 ",2011,,,,,,,,,,,,,
T.J. Dillashaw,"$36,000 ",2012,,,,,,,,,,,,,
T.J. Dillashaw,"$36,000 ",2013,,,,,,,,,,,,,
T.J. Dillashaw,"$314,000 ",2014,,,,,,,,,,,,,
T.J. Dillashaw,"$210,000 ",2015,,,,,,,,,,,,,
T.J. Dillashaw,"$430,000 ",2016,,,,,,,,,,,,,
T.J. Dillashaw,"$280,000 ",2017,,,,,,,,,,,,,
T.J. Dillashaw,"$440,000 ",2018,,,,,,,,,,,,,
T.J. Dillashaw,"$380,000 ",2019,,,,,,,,,,,,,
T.J. Laramie,"$13,500 ",2020,,,,,,,,,,,,,
T.J. O’Brien,"$6,000 ",2011,,,,,,,,,,,,,
Tafon Nchuwki,"$23,500 ",2020,,,,,,,,,,,,,
Thiago Moses,"$13,500 ",2018,,,,,,,,,,,,,
Tiago Trator,"$16,000 ",2014,,,,,,,,,,,,,
Tiago Trator,"$32,500 ",2015,,,,,,,,,,,,,
Tiago Trator,"$14,500 ",2016,,,,,,,,,,,,,
TJ O'Brien,"$3,000 ",2010,,,,,,,,,,,,,
Tony Martin,"$32,000 ",2014,,,,,,,,,,,,,
Tony Martin,"$10,000 ",2015,,,,,,,,,,,,,
Tony Martin,"$12,500 ",2016,,,,,,,,,,,,,
Tony Martin,"$63,000 ",2017,,,,,,,,,,,,,
Tor Treong,"$16,000 ",2014,,,,,,,,,,,,,
Ulka Sasaki,"$76,000 ",2014,,,,,,,,,,,,,
Ulka Sasaki,"$12,000 ",2015,,,,,,,,,,,,,
Ulka Sasaki,"$26,500 ",2016,,,,,,,,,,,,,
Ulka Sasaki,"$120,500 ",2017,,,,,,,,,,,,,
Ulka Sasaki,"$73,000 ",2018,,,,,,,,,,,,,
Valérie Létourneau,"$16,000 ",2014,,,,,,,,,,,,,
Vernon Ramos,"$12,500 ",2015,,,,,,,,,,,,,
Vincent Cachero,"$13,500 ",2020,,,,,,,,,,,,,
Vincente Luque,"$141,500 ",2016,,,,,,,,,,,,,
Vinny Malgalhaes,"$16,000 ",2012,,,,,,,,,,,,,
Vinny Malgalhaes,"$16,000 ",2013,,,,,,,,,,,,,
Wang Anying,"$24,000 ",2014,,,,,,,,,,,,,
Wang Sai,"$24,000 ",2014,,,,,,,,,,,,,
Weili Zhang,"$67,000 ",2018,,,,,,,,,,,,,
Weili Zhang,"$219,500 ",2019,,,,,,,,,,,,,
Wendell Oliveira,"$8,000 ",2014,,,,,,,,,,,,,
Wendell Oliveira,"$18,000 ",2015,,,,,,,,,,,,,
William ‘Patalino’ Macario,"$12,000 ",2014,,,,,,,,,,,,,
William ‘Patolino’ Macario,"$12,000 ",2015,,,,,,,,,,,,,
Xiaonan Yan,"$59,000 ",2018,,,,,,,,,,,,,
Xiaonan Yan,"$36,000 ",2019,,,,,,,,,,,,,
Yadong Song,"$109,000 ",2018,,,,,,,,,,,,,
Yashuhiro Urishitani,"$12,000 ",2012,,,,,,,,,,,,,
Yashuhiro Urishitani,"$12,000 ",2013,,,,,,,,,,,,,
Youseff Zalal,"$107,500 ",2020,,,,,,,,,,,,,
Yushin Okami,"$23,000 ",2011,,,,,,,,,,,,,
Zarah Fairn dos Santos,"$13,500 ",2019,,,,,,,,,,,,,
Zhang Tiequan,"$12,000 ",2011,,,,,,,,,,,,,
Zu Anyanwu,"$12,500 ",2017,,,,,,,,,,,,,
